;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
Total;78852755;71577162;75957642;74933409;77091156;72966538;70777269;68977463;64403605;67595519;69101103;68809993;67243154;75378204;68322486;65093445;62651784;61903847;56708281;55691234;52709991;49272044
Matèries primeres;10047573;8530036;10142497;10211065;10068044;8248796;9414982;9546271;8797292;10546134;8383143;8077570;9737774;10479200;10204721;11111319;8300891;7641178;7254162;8331933;6742304;6433799
Biòtiques;5640688;5099703;6175294;4966501;4952556;4662578;5204875;5140203;4738670;4640578;3955514;3852461;4948610;4984216;4222979;3772449;3429294;3327692;3398447;4369624;3610899;3217653
Metàl·liques;123693;135310;64105;134974;90157;129055;154006;123649;39570;213850;92620;70475;68959;399395;224277;150532;90964;151382;58615;71805;54271;84795
No metàl·liques;3523963;2911218;3028312;4007715;3641193;2322000;2407609;2473996;3077980;3255491;2372791;2673063;3039620;2394615;3527252;5682834;2801427;2476290;2530398;2527784;2280660;1862413
Combustibles fòssils;841739;383805;874786;1101875;1384138;1135163;1648493;1808424;941071;2436214;1962218;1481570;1680584;2700973;2230215;1505504;1979207;1685813;1266702;1362720;796474;1268938
Productes semimanufacturats;16394861;13664449;13734650;15234481;15599419;15415742;14807837;14455590;12356676;13842571;13883160;13813977;11884155;13214650;13432776;12523652;12598068;13169193;12277962;11366214;11151303;11027117
Biòtics;6986128;5166888;4879542;6189662;6476311;6546680;5500438;4871057;4387059;5188909;5216223;4687056;4827463;4836000;4813507;4228782;3653804;4041237;3795565;3789368;3740190;3297325
Metàl·lics;2467339;1857062;2376135;1960196;1865223;1638659;1999351;1925043;1538023;1728650;1885363;1781448;1455294;2190278;1522215;2053392;1750281;1739638;1666109;1548542;1305736;1499264
No metàl·lics;3725972;4313742;3766160;4251844;4119949;4160023;4283664;4759051;3723038;4347898;4108161;4252103;2796702;3620658;4070396;3231458;3357470;3690874;3522187;2948448;3144349;3408933
Combustibles fòssils;1607478;1055514;1258911;1437749;1325233;1417335;1401323;1452452;1128623;1310740;1388636;1783251;1441691;1160864;1604099;1466255;1585537;1331653;1278978;1045459;1131223;1147567
Altres productes semimanufacturats;1607944;1271245;1453903;1395029;1812704;1653046;1623061;1447986;1579932;1266375;1284776;1310117;1363005;1406851;1422560;1543765;2250976;2365791;2015123;2034398;1829804;1674027
Productes manufacturats;45091864;42812428;46117331;44139032;45965697;43810080;41568752;40992470;38794930;39079355;41627143;41659275;40263738;45922123;38772968;35874500;36983853;36399422;32599408;31266013;31005097;28464351
Biòtics;15214592;14652331;12663384;12616869;13510556;12933406;13292828;11707869;11670826;12239525;11799055;11595432;11252139;12375236;11077031;10488044;8920290;9297179;8083593;8157840;7627300;7199485
Metàl·lics;7551836;6023199;7628441;7579658;7724876;7265682;6555550;7064546;6708313;6036032;7376935;7187874;6936068;8874634;7796304;7204556;7604542;6997236;6712184;6001702;6037553;5278496
No metàl·lics;1409284;1079521;1132476;1200870;1169487;1175616;1125655;1110197;1488108;991359;1212197;1039331;1418677;2231119;1892699;1729626;1632915;1534021;1596525;1321200;1335400;1162960
Combustibles fòssils (1);11997464;12356635;15527898;13971482;15147796;14087705;12762198;12998786;11806593;12043343;14358169;14681724;13948597;13849718;9963347;9027826;9663059;10292923;9509766;8843011;9748163;8899319
Residus manufacturats;1445;467;1600;1160;4312;1254;1788;549;384;587;164;29;483;582;5663;73;156;188;275;511;5;0
Altres productes manufacturats;8917243;8700275;9163532;8768995;8408670;8346416;7830734;8110523;7120706;7768510;6880622;7154885;6707775;8590834;8037924;7424375;9162890;8277875;6697064;6941749;6256676;5924090
Altres exportacions de l'exterior;7318458;6570249;5963163;5348831;5457995;5491919;4985698;3983133;4454707;4127459;5207658;5259172;5357487;5762231;5912021;5583974;4768972;4694054;4576750;4727074;3811287;3346777

