;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
Total;91454646;81765736;92584420;89345809;88338618;83795048;85091411;81059409;73419130;77795163;80062144;86903175;85703715;98934678;96815383;88429680;88934045;85765982;80944404;74751287;71513825;68783871
Matèries primeres;26442601;24529692;31432533;29913103;31152141;26916833;30117214;27750899;23968086;27597232;26065256;29867171;31001120;33976690;32353464;27522920;29950570;28860775;27783001;25576756;25296041;24341816
Biòtiques;14950670;14046892;14498628;14545502;14730759;13968431;14598842;13124063;11719741;12503004;12004820;11696744;12442651;13700866;12397335;10525711;12123026;10486419;10826604;9558597;9557030;9042326
Metàl·liques;73474;205271;149591;115502;209632;92643;186980;154412;126291;159569;167114;70158;155243;351141;631476;98823;167338;259206;106958;83788;132865;145191
No metàl·liques;1735418;1899016;1667128;1649007;2149865;1907224;2551642;1935546;1428319;1666112;2183205;2917489;2686784;3119884;3321932;3113078;3599284;4103601;4138287;3286716;3627350;2708544
Combustibles fòssils;9683040;8378513;15117184;13603092;14061884;10948535;12779750;12536877;10693734;13268548;11710116;15182780;15716444;16804799;16002720;13785308;14060922;14011549;12711152;12647655;11978797;12445755
Productes semimanufacturats;15915010;12772930;13911788;14516397;14346601;13843830;14954403;13084916;14049714;12828912;14534665;15864930;13257992;15276208;17969156;15478438;15240272;14376547;14679603;13717914;13006756;12191651
Biòtics;5906543;4257039;4268927;4567572;4660566;4347982;4767111;4114813;4092254;4555878;4012825;4467164;3429201;4378620;3820442;4039667;3867750;4054918;3840950;3856777;3575563;3123399
Metàl·lics;4894518;3667545;4058760;4459633;4236264;4190138;4693618;4156792;3888274;3613701;4155211;4116084;3747750;4666433;4665746;4714088;4371208;4422976;4394140;3863920;3623448;3681081
No metàl·lics;1567081;1266645;1394776;1373901;1045366;1167556;1520897;940432;1209027;1151647;1508025;2346019;2330733;2581693;4935465;3099305;2791465;2070567;2265969;2300960;1626048;1562588
Combustibles fòssils;2000037;2436613;2691340;2699498;3105411;2929781;2872859;2792714;3527619;2696647;3574814;3958327;2699011;2280958;3357270;2398045;2723955;2426791;2780839;2332714;2958279;2451726
Altres productes semimanufacturats;1546831;1145088;1497985;1415793;1298995;1208373;1099918;1080165;1332539;811041;1283791;977336;1051296;1368505;1190233;1227334;1485893;1401296;1397706;1363542;1223417;1372858
Productes manufacturats;43689426;40057992;43312637;41806235;38965078;39468492;36838090;37571719;32502594;34635291;36430449;37931823;38540446;46313827;42808919;42083585;41148432;39969828;35802926;32997848;31142095;30256345
Biòtics;15195133;14621702;14573002;13872017;13265780;13812758;12658404;12184652;11931696;12061844;11838734;12768033;13723208;13801502;14484736;13635153;11941058;12175273;10739850;10237390;9189741;8628787
Metàl·lics;6762375;5745127;7199441;7129196;6647013;6199579;5971264;6449781;5112666;5499711;6319805;6359796;6132579;9024136;8079537;8139506;7924382;7205996;6975810;6347408;5932559;5823949
No metàl·lics;1916495;1451766;1991928;1706707;1451184;1559017;1414105;1378392;1366981;1364469;1632831;1645198;1526884;2408190;2424682;3026913;2505197;2386378;2196727;2080156;2046505;1775372
Combustibles fòssils;11913913;11433589;13110095;13056940;11387016;12222735;11200450;10350938;8773982;9882046;10797730;11071911;11040059;13289391;12238625;12018185;12006136;12281676;10631435;9495379;9675561;9791463
Residus manufacturats;1753;1387;1341;6860;34118;24093;35209;25719;19875;14946;25480;37898;39328;13217;4404;31310;70700;90448;73975;14639;0;0
Altres productes manufacturats;7899757;6804421;6436831;6034515;6179967;5650311;5558658;7182237;5297393;5812274;5815867;6048984;6078388;7777391;5576936;5232518;6700959;5830056;5185128;4822876;4297729;4236773
Altres importacions de l'exterior;5407608;4405123;3927462;3110073;3874797;3565893;3181704;2651875;2898737;2733729;3031775;3239251;2904156;3367953;3683845;3344737;2594771;2558832;2678874;2458769;2068932;1994059

