;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
Total;39212854;38352426;49104420;48196250;47476964;46131409;44294027;42561679;42467252;46700248;49067259;51313869;52170264;55677899;58574612;57513156;58572553;55591177;66498801;63174636;61519731;60748484
Emissions a l'atmosfera;38632990;38123815;48890153;47975846;47241400;45908767;44066303;42331767;42240162;46494631;48861404;51083557;51968918;55581463;58305510;57400859;58325556;55529052;53006806;50051219;48430570;47026264
Diòxid de carboni (CO2);37816053;37279742;47982776;47075516;46336515;44980695;43156299;41421744;41353974;45442996;47853104;50049553;50855157;54453329;57098810;56182802;56981733;54214117;51623642;48699831;47044983;45582092
A partir de la combustió de biomassa;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Sense la combustió de biomassa;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Metà (CH4);202998;203457;207579;209287;217322;226802;226329;218370;211936;239586;233432;224154;240851;225184;233889;226554;232851;244505;256662;260389;263041;267497
Òxid de dinitrogen (N2O);5124;6013;6055;5969;5876;5687;5676;5578;5293;5477;5611;5675;5794;5800;6158;5926;5962;6053;6241;5954;6171;6542
Òxids nitrosos (NOx);169073;184878;211967;211367;206361;213715;209220;214405;209530;241072;250906;261436;285004;300032;309696;305926;295811;284717;276536;266861;268333;262774
Hidrofluorocarburs;456;504;542;573;669;734;687;1086;1083;1059;1008;983;964;1035;1160;999;860;790;883;427;1423;2676
Perfluorocarburs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hexafluorur de sofre;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1
Monòxid de carboni (CO);146963;152170;152560;142590;148730;152335;147622;152396;146862;208901;163747;176626;190267;189039;208346;225486;252692;233796;294400;269908;306295;340403
Compostos orgànics volàtils no metaners (NMVOC);102369;104186;115917;116888;115386;113749;111132;107894;105295;115402;114734;119981;121214;132416;146677;147208;154377;156499;163467;164790;172645;178276
Diòxid de sofre (SO2);20352;34498;48500;49773;48124;53121;49477;52194;52522;63718;67281;73080;83220;84500;93747;100418;192133;183861;175569;185186;164367;181069
Amoníac (NH3);77992;70721;71015;72104;70751;69903;69668;67528;64791;67066;67791;66378;70442;72397;80498;77192;82751;84754;86400;85876;89677;88812
Metalls pesants;102;100;130;129;127;126;123;127;126;141;150;156;167;173;179;179;178;167;168;159;185;217
Contaminants orgànics persistents (COP);8;8;12;12;12;12;12;12;12;12;12;12;12;11;11;13;12;11;11;11;11;11
Partícules;91500;87535;93099;91637;91527;91887;90058;90431;88736;109200;103625;105520;115824;117545;126338;128154;126195;119779;122826;111827;113438;115895
Altres emissions a l'atmosfera;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Abocament de residus sòlids;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Municipals. Al medi ambient;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Municipals. Als abocadors controlats;1373000;1353021;1439800;1479852;1508471;1513255;1500000;1580000;1515000;1540000;1733237;2027866;2124911;2321025;2748228;3418549;3331424;2935541;3036822;3336811;3153969;2277000
Industrials. Al medi ambient;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Industrials. Als abocadors controlats;615761;574806;608661;580212;551484;531324;526415;546083;561801;601423;621852;671374;823000;950000;1120000;1150000;1365000;1841000;1382785;1450300;1489928;1342000
Eliminació de residus de la construcció i demolició als abocadors controlats;2460000;2390288;2194842;1961822;1787408;1465155;1700000;1600726;1352575;1446750;1653350;1496375;2623541;6073199;8857810;9081555;7248882;5936551;5420531;5025918;6401285;5244627
Emissions a l'aigua;197204;199508;223157;209056;221619;220927;182277;155331;..;197805;198824;189558;211506;201386;221215;221870;204372;183694;..;..;..;..
Nitrogen (N);13267;13952;15082;14559;18528;9726;9767;10120;..;10746;20536;19529;20118;19949;19634;19445;8620;8028;..;..;..;..
Fòsfor (P);887;993;1075;1053;4531;2066;2233;1827;..;2082;3739;3362;3573;4301;3954;4385;1321;1463;..;..;..;..
Metalls pesants;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
